Team,Name,Type,Years,Salary,Bonus,Date
Edmonton,Adam Lowry,S,3,1.25,,2/1/2019
Edmonton,Alex Chiasson,S,4,1.35,,2/1/2019
Edmonton,Alexander Steen,S,1,1.16,3.48,2/1/2019
Winnipeg,Andrew Ladd,S,2,2.2,,2/2/2019
Philly,Andy Greene,S,2,1.8,,2/1/2019
Carolina,Anton Stralman,S,2,2.5,3.5,2/1/2019
Chicago,Bobby Ryan,S,2,2.25,2,2/1/2019
Toronto,Brandon Crombeen,S,3,0.6,,2/1/2019
Florida,Brandon Dubinsky,S,2,3,2,2/1/2019
Toronto,Braydon Coburn,S,2,2,,2/1/2019
Dallas,Brendan Smith,S,3,0.9,3,2/1/2019
Montreal,Brenden Dillon,S,3,3,6.3,2/1/2019
Chicago,Brian Little,S,2,2.5,3,2/1/2019
Dallas,Brooks Orpik,S,3,1,3,2/1/2019
Phoenix,Cal Orielly,S,3,0.4,,2/1/2019
Dallas,Cedric Paquette,S,3,0.7,,2/1/2019
Dallas,Chris Stewart,S,4,0.6,,2/1/2019
Florida,Chris Terry,S,1,0.4,,2/1/2019
St. Louis,Cody Goloubef,S,3,0.45,,2/1/2019
Winnipeg,Cory Schneider,S,3,3,0.75,2/1/2019
Chicago,Craig Anderson,S,2,2,2.5,2/1/2019
Toronto,Craig Anderson,S,3,2,0.3,2/1/2019
Montreal,Danny Dekeyser,S,3,2.5,4.5,2/1/2019
Phoenix,Darren Archibald,S,3,0.4,,2/1/2019
Boston,Drew Shore,S,2,0.75,,2/1/2019
New Jersey,Elias lindholm,S,5,4.25,7.5,2/1/2019
Phoenix,Fabian Brunnstrom,S,3,0.4,,2/1/2019
Phoenix,Ilari filppula,S,3,0.4,,2/1/2019
Phoenix,Jared Staal,S,3,0.4,,2/1/2019
Vancouver,Jay Beagle,S,1,2,1,2/1/2019
Rangers,Jimmy Howard,S,2,1.25,2.5,2/1/2019
Vancouver,Joel Armia,S,3,1.25,,2/1/2019
Montreal,Jonathan Bernier,S,2,1,1.5,2/1/2019
Dallas,Jordan Binnington,S,3,0.8,,2/1/2019
St. Louis,Jordie Benn,S,3,1.5,0.75,2/1/2019
Florida,Karl Alzner,S,3,2.2,2,2/1/2019
Phoenix,Kyle Cumisky,S,3,0.4,,2/1/2019
Colorado,Lars Eller,S,3,2.25,3.75,2/1/2019
Colorado,Leo Komorov,S,3,1,1.8,2/1/2019
Tampa Bay,Loui Eriksson,S,2,0.7,,2/1/2019
Winnipeg,Luke Glendenning,S,3,1.4,,2/1/2019
Buffalo,Luke Schenn,S,2,1.75,,2/1/2019
Tampa Bay,Marcus Foligno,S,3,0.8,,2/1/2019
Columbus,Mark Pysyk,S,4,1.25,,2/1/2019
Phoenix,Matt Nickerson,S,3,0.4,,2/1/2019
Tampa Bay,Matt Read,S,3,0.6,,2/1/2019
Phoenix,Matt Watkins,S,3,0.4,,2/1/2019
Phoenix,Max Reinhardt,S,3,0.4,,2/1/2019
Tampa Bay,Mike Condon,S,2,0.55,,2/1/2019
Phoenix,Mike Duco,S,3,0.4,,2/1/2019
Vancouver,Mike Smith,S,2,3.5,3,2/1/2019
Montreal,Nick Bonino,S,2,2,2.5,2/1/2019
Carolina,Niklas Kronwall,S,1,2.75,1.5,2/1/2019
Rangers,Patric Hornqvist,S,1,2.5,4,2/1/2019
Phoenix,Patrice cormier,S,3,0.4,,2/1/2019
Anaheim,Patrick Marleau,S,2,3,9,2/1/2019
Phoenix,Rob Schremp,S,3,0.4,,2/1/2019
Carolina,Roberto Luongo,S,2,3,0.5,2/1/2019
San Jose,Ron Hainsey,S,3,2,,2/1/2019
Anaheim,Ryan Kesler,S,2,1.5,4.5,2/1/2019
Florida,Ryan Miller,S,1,1,2,2/1/2019
Edmonton,Ryan Strome,S,3,1.25,,2/1/2019
Pittsburgh,Steve Bernier,S,3,0.46,,2/1/2019
Phoenix,Taylor fedun,S,3,0.4,,2/1/2019
Edmonton,Trevor Lewis,S,4,0.85,,2/1/2019
Phoenix,Ty Wishart,S,3,0.4,,2/1/2019
Edmonton,Tyler Ennis,S,4,0.7,,2/1/2019
Washington,Vadim Shipachyov,S,5,0.45,,2/1/2019
Phoenix,Wade Megan,S,3,0.4,,2/1/2019
Phoenix,Yohan Auvitu,S,3,0.4,,2/1/2019
Washington,Zach Parise,S,2,3,9.5,2/1/2019
Winnipeg,Jaromir Jagr,S,5,1.5,,2/1/2019
Dallas,Marc Methot,S,5,2.5,,2/1/2019
Philly,Kari Lehtonen,S,2,2.5,,2/1/2019
Montreal,Eric Gryba,S,1,0.5,,2/1/2019
Vancouver,Ville Pokka,S,5,0.6,,2/1/2019
Vancouver,Laurent Dauphin,S,5,0.7,,2/1/2019
Vancouver,Tyler Biggs,S,3,0.5,,2/1/2019
Boston,Chad Johnson,S,2,0.65,,2/1/2019
Boston,Dalton Prout,S,2,0.65,,2/1/2019
Boston,Michael Raffl,S,3,0.75,,2/1/2019
Florida,Chris Terry,S,1,0.4,,2/1/2019
,,,,,,2/1/2019
,,,,,,2/1/2019
,,,,,,2/1/2019
