Team1,Team1Players,Team1Prospects,Team1Picks,Team1Cash,Team2,Team2Players,Team2Prospects,Team2Picks,Team2Cash,Date
Montreal,,,VAN 1st 2018,,Phoenix,,,"PHO 1st 2018, NJ 1st 2018",,11/21/2019
Edmonton,,,,9.5,Colorado,,,"FLA 2nd 2018, COL 3rd 2018, COL 4th 2018, NAS 4th 2018, BOS 4th 2018, OTT 4th 2018",,11/21/2019
Phoenix,,,"OTT 1st 2018, CAR 2nd Carolina",3,Tampa Bay,,,TB 1st 2018,,11/21/2019
Phoenix,,,"TB 1st 2018, COL 1st 2018",,New Jersey,,,PHO 1st 2020,,11/21/2019
Washington,,,WAS 3rd 2020,0.5,Rangers,,,WAS 3rd 2018,,11/21/2019
Anaheim,,,"ANA 1st 2018, CAR 1st 2018, EDM 1st 2018, ANA 2nd 2020",,New Jersey,Evgeni Malkin,,,,11/21/2019
Dallas,Erik Karlsson,,,,New Jersey,"Matt Niskanen, Linus Ullmark, Marcus Sorensen",,ANA 1st 2018,10,11/21/2019
Dallas,,,ANA 1st 2018,,Detroit,,,,10,11/21/2019
Montreal,Tyler Johnson,,PHO 1st 2018,,New Jersey,,,"COL 1st 2018, MTL 1st 2018, CAR 1st 2018",,11/21/2019
Florida,,,MIN 1st 2018,,New Jersey,,,,9.75,11/21/2019
New Jersey,,,CAR 4th 2018,,Tampa Bay,,,,0.6,11/23/2019
Toronto,,,CHI 2nd 2018,,Tampa Bay,Kevin Shattenkirk,,,,11/23/2019
Montreal,,,PIT 4th 2019,,Toronto,,,CHI 4th 2018,,11/23/2019
Carolina,T.J Brodie,,,,Minnesota,,,,10,11/23/2019
Washington,,,,15,Edmonton,,,"FLA 2nd 2018, EDM 2nd 2018, ANA 2nd 2018, COL 3rd 2018, COL 4th 2018, NAS 4th 2018, BOS 4th 2018, OTT 4th 2018",,11/23/2019
Toronto,,,"TOR 1st 2018, CHI 1st 2018",,Tampa Bay,Mark Stone,,,,11/23/2019
Washington,,,"WAS 2nd 2018, WAS 3rd 2018, FLA 4th 2018",,LosAngeles,,,,5,11/23/2019
Philly,Brandon Perlini,,LA 2nd 2018,,LosAngeles,Olli Juolevi,,,,11/23/2019
Tampa Bay,,,BOS 2nd 2018,,New Jersey,Connor Brown,,,,11/23/2019
Washington,,,FLA 2nd 2018,,New Jersey,,,NJ 2nd 2019,0.6,11/23/2019
LosAngeles,,,"LA 3rd 2019, CAR 3rd 2019, LA 4th 2019, PHI 4 2019",,Phoenix,,,"BOS 3rd 2018, CHI 3rd 2018, LA 4th 2018, MIN 4th 2018",,11/23/2019
Montreal,,,BOS 2nd 2019,,Washington,,,EDM 2nd 2018,,11/23/2019
Calgary,,,TOR 4th 2018,2,Carolina,,,"CAR 3rd 2018, STL 4th 2018",,11/23/2019
LosAngeles,,,"NYR 3rd 2018, NJ 4th 2018",,Rangers,,,"LA 4th 2020, LA 3rd 2021",,11/23/2019
New Jersey,,,,1.5,Washington,,,"BOS 4th 2018, OTT 4th 2018, COL 4th 2018",,11/23/2019
Tampa Bay,,,"NJ 3rd 2018, TB 4th 2018",,Detroit,,,MIN 3rd 2018,,11/23/2019
Carolina,,,,0.5,Montreal,,,CHI 4th 2018,,11/23/2019
New Jersey,Brian Elliott,,,,Montreal,,,,0.5,3/27/2020
Toronto, Artem Anisimov,"Jacob Moverare, Brandon Duhaime",,,Montreal,Jordan Staal,,,,3/30/2020
Carolina,"Alex Gogligoski, Cody McLeod",,,0.3,Montreal,,,"PIT 3rd 2019, CAR 4th 2020",,3/31/2020
Montreal,,,"EDM 3rd 2019, CHI 4th 2020",,New Jersey,Tyler Johnson,,,,3/31/2020
Washington,,,,0.5,Colorado,Frans Nielson,,,,4/1/2020
Washington,,,WAS 4th 2019,1,Rangers,Jimmy Howard,,,,4/1/2020
Montreal,,,MTL 4th 2021,,Colorado,Andrew MacDonald,,,,4/2/2020
Florida,Victor Olofsson,,"FLA 2020 1st, FLA 2022 3rd",,Rangers,Mark Giordano,,,,4/2/2020
Carolina,"Bo Horvat, Tyler Bertuzzi",,"CAR 1st 2020, FLA 2nd 2019",5,Chicago,"Kristopher Letang,Michal Kempny",,,,4/10/2020
Carolina,"Colton Parayko,Alexander Radulov",,,,Edmonton,"Artemi Panarin, Brian Dumoulin",,,2,4/10/2020
Montreal,,,FLA 4th 2021,0.5,Florida,Kris Russell ,,,,4/10/2020
Edmonton,Alex Chiasson ,,,,Dallas,Marc Staal,,,,4/14/2020
Edmonton,Alexander Radulov,,EDM 1st 2022,12,Chicago,"Tyler Bertuzzi, Mike Hoffman",,,,4/14/2020
New Jersey,"Erik Karlsson, Brady Tkachuk, Nazem Kadri",,NJ 2nd 2020,,Chicago,"Drew Doughty, Steven Stamkos",,,,4/18/2020
Dallas,"Sidney Crosby, Matt Niskanen",,,,Chicago,"Erik Karlson, Nazem Kadri",,,,4/18/2020
Dallas,"Noel Acciari,Mackenzie Skapski",,,,Vancouver,Cal Clutterbuck,,,,4/24/2020
Edmonton,"Vladimir Tarasenko, William Karlsson, Evgeny Dadonov",,EDM 3rd 2020,4,Chicago,"Tyler Seguin, Micheal Ferland",,,,4/26/2020
Boston,"Jakub Voracek, Nate Schmidt, Sven Baerstchi ",,NYR 2nd 2020,,Toronto,"James Van Riemsdyk, Marco Scandella, Anthony Duclair, Travis Sanheim, Issac Ratcliffe",,EDM 1st 2019,,5/28/2020
Dallas,,,DAL 3rd 2022,,Calgary,Austin Watson,,,,5/31/2020
Dallas,"Erik Karlsson, Alex Chiasson",,,,Washington,"Zdeno Chara, Milan Lucic",,"WAS 1st 2019, BOS 2nd 2019",4,5/31/2020
Dallas,Cal Clutterbuck,Hugh McGing,BOS 2nd 2019,,Vancouver,Lawson Crouse,,,,6/1/2020
Dallas,Brad Marchand,,DAL 2nd 2022,,Edmonton,"Shea Weber, Michael Ferland, Tyler Bertuzzi",,,,6/1/2020
Dallas,Linus Ullmark,,"WAS 1st 2019, DAL 4th 2022",,Buffalo,Jacob Markstrom,,,,6/9/2020
Florida,"Ryan Ellis, Andreas Athanasiou, Mike Amadio",,,,Rangers,"Tyson Barrie, Joshua Bailey",,,,6/15/2020
Florida,"Derek Stepan , Victor Mete",,,0.8,Colorado,David Perron,,,,6/16/2020
LosAngeles,"Rasmus Dahlin, Kasper Kapanen",,,,Rangers,Brett Connolly,Cal Foote,"NYR 1st 2019, NYR 2nd 2019, NYR 3rd 2019, NYR 1st 2020, BOS 1st 2020, FLA 1st 2020, BOS 2nd 2020",4,7/9/2020
Dallas,Justin Bailey,Erik Foley,DAL 1st 2022,,LosAngeles,Sam Bennett ,,,,7/9/2020
Washington,Joe Thornton,,,,Toronto,Lars Eller,,,,7/30/2020
Boston,,,BOS 3rd 2022,0.5,Philly,Andy Greene,,,,8/27/2020
