Team,Name,Type,Years,Salary,Bonus,Date,Status,Notes
Montreal,Matt Irwin,S,3,0.65,,12/18/2020,UFA,
Montreal,Nick Shore,S,3,0.6,,12/18/2020,UFA,
Winnipeg,Bobby Ryan,S,3,2.5,1.5,12/18/2020,UFA,
LosAngeles,Carl Soderberg,S,2,1.5,3,12/18/2020,UFA,
Winnipeg,Brayden Coburn,S,2,2,,12/18/2020,UFA,
Colorado,Jeff Carter,S,2,3.5,2,12/18/2020,UFA,
Vancouver,Jimmy Vesey,S,5,1,0.5,12/18/2020,UFA,
Dallas,Terrance Amorosa,S,5,0.5,,12/18/2020,UFA,
LosAngeles,Oscar Lindberg,S,4,0.8,,12/18/2020,UFA,
LosAngeles,Josh Leivo,S,2,,,12/18/2020,UFA,
LosAngeles,Meeker Karlsson,S,3,0.8,0.9,12/18/2020,UFA,
Montreal,Luke Schenn,S,1,0.9,0.1,12/18/2020,UFA,
New Jersey,James Reimer,S,2,0.8,,12/18/2020,UFA,
Montreal,Justin Abdelkader,S,1,0.7,,12/18/2020,UFA,
Montreal,Michel Neuvirth,S,1,0.7,,12/18/2020,UFA,
Anaheim,Tyler Pitlick,S,4,0.4,,12/18/2020,UFA,
Edmonton,Luke Witkowski,S,4,0.75,1,12/18/2020,UFA,
Florida,Travis Zajac,S,3,3,3,12/18/2020,UFA,
Vancouver,Viatcheslav Voynov,S,5,0.75,,12/18/2020,UFA,
New Jersey,Andreas Johnson,S,3,1.25,2.25,12/18/2020,UFA,
New Jersey,Ondrej Kase,S,2,1.25,1.5,12/18/2020,UFA,
New Jersey,Valeri Nichushkin,S,3,0.8,,12/18/2020,UFA,
Tampa Bay,Henrik Lundqvist ,S,2,2,,12/18/2020,UFA,
Nashville,Dylan Demelo,S,4,2,2.25,12/18/2020,UFA,
Pittsburgh,Andrew Hammond,S,3,0.65,,12/18/2020,UFA,
Montreal,Nic Dowd,S,3,0.6,,12/18/2020,UFA,
